001;Accounting
002;Active Listening
003;Administrative
004;Analytical
005;Behavioral
006;Blue Collar 
007;Business Intelligence
008;Business
009;Business Storytelling
010;Clerical
011;Collaboration
012;Communication
013;Computer
014;Conceptual
015;Conflict Management
016;Conflict Resolution
017;Consulting
018;Content Strategy
019;Creative Thinking
020;Critical Thinking
021;Customer Service
022;Decision Making
023;Delegation
024;Deductive Reasoning
025;Digital Marketing
026;Digital Media
027;Editing
028;Employability
029;Entrepreneurial
030;Finance
031;Flexibility
032;General
033;Hard Skills
034;Health Care Skills Listed by Job
035;High School Student Skills
036;Hospitality Industry
037;Inductive Reasoning
038;Information Technology
039;Interpersonal
040;Leadership
041;Legal
042;Life Skills
043;Listening
044;Logical Thinking
045;Management
046;Marketing
047;Microsoft Office Skills
048;Motivational
049;Multitasking
050;Negotiations
051;Nonverbal Communication
052;Organizational
053;Personal
054;Persuasive
055;Presentation
056;Problem Solving
057;Public Speaking
058;QuickBooks
059;Research
060;Retail Industry
061;Sales
062;Social
063;Social Media
064;Soft Skills
065;Strategic Planning
066;Strengths (List of Examples)
067;Team Building
068;Teamwork
069;Tech Skills Listed by Job
070;Technical
071;Time Management
072;Transferable
073;Verbal Communication
074;Writing